,x,y,z,cluster,last name,given name,citation
0,0.9889869689941406,0.32611507177352905,0.5599338412284851,3,Hassan,Ahmed E.,For contributions to the quality assurance of large scale software systems
1,0.6428771615028381,0.14827865362167358,0.5419538617134094,8,Pothen,Alex,"For contributions to and leadership in combinatorial scientific computing
"
2,0.49047380685806274,0.06103441119194031,0.7174873352050781,8,Kemper,Alfons,"For contributions to database management system technology
"
3,0.5067871809005737,0.2961922883987427,0.21600458025932312,6,Anandkumar,Anima,For contributions to tensor methods for probabilistic models and neural operators
4,0.38886162638664246,0.6304459571838379,0.8274008631706238,7,Sabharwal,Ashutosh,For the invention of full-duplex wireless and open-source wireless research platforms
5,0.9481054544448853,0.3483404517173767,0.47343677282333374,3,Curtis,Bill,"For contributions to software process,  software measurement, and human factors in software engineering"
6,0.5864941477775574,0.747551441192627,0.1676192283630371,5,Barak,Boaz,"For contributions to theoretical computer science, in particular cryptography and computational complexity, and service to the theory community"
7,0.6903247833251953,0.6768412590026855,0.3012988567352295,5,de Supinski,Bronis R.,For contributions to the design of large-scale systems and their programming systems and software
8,0.013818919658660889,0.5707521438598633,0.2964993715286255,2,Kuo,Chung C,"For contributions to technologies, applications, and mentorship in visual computing"
9,0.412238210439682,0.5845596790313721,0.10079094767570496,9,Daskalakis,Constantinos,"For fundamental contributions to algorithmic game theory, mechanism design, sublinear algorithms and theoretical machine learning"
10,0.46525076031684875,0.2639448344707489,0.3092959523200989,6,Cortes,Corinna,"For theoretical and practical contributions to machine learning, industrial leadership, and service to the field"
11,0.021222025156021118,0.5510978698730469,0.25966817140579224,2,Gotsman,Craig,"For contributions to computer graphics, geometry processing, and visual computing
"
12,0.021221578121185303,0.46039295196533203,0.05487927794456482,2,Mount,David M,For contributions to algorithms and data structures for geometric data analysis and retrieval
13,0.0008730590343475342,0.5320693254470825,0.23535656929016113,2,Zorin,Denis,"For contributions to computer graphics, geometry processing, and scientific 
computing"
14,0.34616318345069885,0.40047764778137207,0.775337815284729,7,Yu,Dong,"For contributions in speech processing and deep learning applications
"
15,0.37126901745796204,0.3184325695037842,0.573392927646637,6,Chi,Ed H.,"For contributions to machine learning and data mining techniques for social computing and recommender systems
"
16,0.9880362749099731,0.46265923976898193,0.5395772457122803,3,Koushanfar,Farinaz,"For contributions to secure computing and privacy-preserving machine learning
"
17,0.3180105686187744,0.31400635838508606,0.4022766053676605,6,Li,Hang,For contributions to machine learning for search and dialogue
18,0.9118039608001709,0.42367419600486755,0.5565621256828308,3,Hicks,Michael W,"For contributions to programming language design and implementation, program analysis, and software security."
19,0.443716824054718,0.3152643144130707,0.2467779517173767,6,Xing,Eric,"For contributions to algorithms, architectures, and applications in machine learning
"
20,0.21222421526908875,0.7506054639816284,0.47696438431739807,2,Sullivan,Gary J.,For contributions to video and image compression and leadership in its standardization
21,0.3562920093536377,0.49740496277809143,0.33025097846984863,6,Navarro,Gonzalo,For theoretical and practical contributions to the fields of text searching and compact data structures
22,0.42586398124694824,0.6679583787918091,0.6816736459732056,7,Zheng,Haitao,For contributions to wireless networking and mobile computing
23,0.19417116045951843,0.777338981628418,0.784967303276062,7,Ishii,Hiroshi,For contributions to tangible user interfaces and to human-computer interaction
24,0.8606510758399963,0.2633577287197113,0.5742180347442627,3,Mei,Hong,"For contributions to software engineering research and translation, and establishing  research standards in China"
25,0.31531253457069397,0.3718641400337219,0.42997094988822937,6,Teevan,Jaime,"For contributions to human-computer interaction, information retrieval, and productivity"
26,0.24753998219966888,0.6799436807632446,0.7991477251052856,7,Hong,Jason,For contributions to ubiquitous computing and to usable privacy and security
27,0.4078287184238434,0.9982146620750427,0.4793797731399536,1,Stasko,John,"For contributions to the design, analysis, usage, and evaluation of software and information visualization"
28,0.45263949036598206,0.3556085526943207,0.41795217990875244,6,Deb,Kalyanmoy,"For technical contributions in evolutionary  multi-objective optimization algorithms and multi-criterion decision support
"
29,0.14784252643585205,0.6517923474311829,0.797677218914032,7,Toyama,Kentaro,For contributions to the innovation and critique of digital technology for socio-economic development and social justice
30,0.36985349655151367,0.7312036752700806,0.6093172430992126,1,Fu,Kevin,"""For contributions to computer security, and especially to the secure engineering of medical devices.""
"
31,0.8062783479690552,0.42551979422569275,0.7062265276908875,3,Ceze,Luis H,For contributions to developing new architectures and programming systems for emerging applications and computing technologies
32,0.4062734842300415,1.0000001192092896,0.4787036180496216,1,Agrawala,Maneesh,"For contributions to visual communication through computer graphics, human-computer interaction, and information visualization"
33,0.8215427398681641,0.4233827590942383,0.6840826869010925,3,Hermenegildo,Manuel V,"For contributions to program analysis, verification, parallelism, logic programming, and the IMDEA Software Institute"
34,0.1258508861064911,0.35712963342666626,0.26990729570388794,2,Pollefeys,Marc,"For contributions to geometric computer vision and applications to AR/VR/MR, robotics, and autonomous vehicles"
35,0.22071877121925354,0.683228611946106,0.7226381897926331,7,Beaudouin-Lafon,Michel,"For contributions to human-computer interaction, instrumental interaction and generative theory, and community leadership"
36,0.4356725811958313,0.15271836519241333,0.4500231444835663,6,Chawla,Nitesh,"For contributions to machine learning research for imbalanced data, graphs, and interdisciplinary innovations"
37,0.5159065127372742,0.15071988105773926,0.7453180551528931,8,Boncz,Peter,"For contributions to the design of columnar, main-memory, and vectorized database systems"
38,0.8132011890411377,0.5427402853965759,0.09560787677764893,5,Qureshi,Moinuddin,For contributions to memory hierarchy design
39,0.749853253364563,0.4518742561340332,0.837370753288269,4,Atienza Alonso,David,For contributions to the design of high-performance integrated systems and ultra-low power edge circuits and architectures
40,0.6405342221260071,0.5643262267112732,0.8208267688751221,4,Henkel,Joerg,For contributions to hardware/software co-design of power and thermal efficient embedded computing
41,0.5497974753379822,0.5768142342567444,0.1579989492893219,5,Khuller,Samir,For contributions to algorithm design with real-world implications and for mentoring and community-building
42,0.1305367350578308,0.35472211241722107,0.27047640085220337,2,Soatto,Stefano,For contributions to the foundations and applications of visual geometry and visual representations learning
43,0.546381950378418,0.6278226971626282,0.7883738279342651,4,Marculescu,Radu,"For contributions to low-power and communication-based design of embedded systems
"
44,0.5417729616165161,0.7325232028961182,0.20470258593559265,5,Pass,Rafael,"For contributions to the foundations of cryptography
"
45,0.4095805883407593,0.5509905815124512,0.7554332613945007,7,Chandra,Ranveer,"For contributions to software-defined wireless networking and applications to agriculture and rural broadband
"
46,0.12962129712104797,0.5105962157249451,0.3717813193798065,2,Vidal,Rene,For contributions to subspace clustering and motion segmentation in computer vision
47,0.7845983505249023,0.5064535140991211,0.0861237645149231,5,Irani,Sandy,For contributions to the theory of online algorithms and quantum complexity theory
48,0.23918059468269348,0.7732551097869873,0.04705244302749634,9,Elbaum,Sebastian,"For contributions to the analysis and testing of evolving systems and robotic systems
"
49,0.3574789762496948,0.6709800362586975,0.8672482371330261,7,Helal,Sumi,"For contributions to mobile and pervasive computing, and their applications in graceful aging and accessibility"
50,0.6384546160697937,0.42460131645202637,0.7978666424751282,4,Sherwood,Tim,For contributions to computer system security and performance analysis
51,0.6030566692352295,0.759178876876831,0.5434186458587646,0,Hoefler,Torsten,"For foundational contributions to High Performance Computing and the application of HPC techniques to machine learning
"
52,0.23194250464439392,0.7868460416793823,0.4735471308231354,1,Zhu,Wenwu,"For contributions to multimedia networking and network representation
"
53,0.699918270111084,0.42038479447364807,0.41572055220603943,3,Lin,Jimmy,"For contributions to question answering, information retrieval, and natural language processing
"
54,0.09768754243850708,0.5530098676681519,0.3600095510482788,2,Yu,Yizhou,For contributions to computer graphics and computer vision
55,0.4722554385662079,0.6448153257369995,0.737472414970398,7,Fang,Yuguang,For contributions to wireless networks and mobile computing
56,0.9343870878219604,0.39031732082366943,0.5203777551651001,3,Su,Zhendong,For contributions to software testing and analysis
57,0.26558053493499756,0.715988278388977,0.8115496635437012,7,Dey,Anind,For contributions to ubiquitous computing and large-scale behavioral studies
58,0.5533591508865356,0.4180515706539154,0.15918287634849548,5,Gupta,Anupam,"For contributions to approximation algorithms, online algorithms, stochastic algorithms and metric embeddings"
59,0.7263121604919434,0.19366881251335144,0.31070566177368164,3,Sistla,Aravinda P,"For contributions to verifying concurrent programs, probabilistic systems, security and database systems"
60,0.15097680687904358,0.7655249834060669,0.8236528038978577,7,Friedman,Batya,For contributions to human values in the technical design process
61,0.26471343636512756,0.5943589806556702,0.08134990930557251,9,Nebel,Bernhard,"For contributions to knowledge representation and reasoning, automatic planning, and their applications in robotics
"
